fez,obtem
INF01202,inf01202
MAT01353,mat01353
FIS01181,fis01181
ECP99002,ecp99002
INF05508,inf05508
MAT01355,mat01355
INF01108,arq
MAT01354,mat01354
INF01203,inf01203
FIS01182,fis01182
MAT01375,mat01375
INF01120,inf01120
MAT01167,mat01167
FIS01183,fis01183
INF01058,cdnovo
INF05512,paa1
ENG10001,eng10001
MAT01168,mat01168
MAT02219,mat02219
MAT02050,mat02050
INF01113,inf01113
INF05501,teocompecp
INF01146,inf01146
ENG10002,eng10002
INF01127,inf01127
INF01049,inf01049
INF01175,inf01175
INF01142,inf01142
ENG04010,eng04010
INF01185,inf01185
ENG10044,eng10044
INF01048,inf01048
ENG10003,eng10003
INF01154,redes
INF01154,labinternet
ENG10017,eng10017
INF01151,sdtf
INF01191,inf01191
MAT01169,mat01169
ENG04078,eng04078
INF01147,lp2
INF01194,inf01194
INF01001,inf01001
INF01047,inf01047
ENG10032,eng10032
ENG10004,eng10004
INF01008,inf01008
INF01017,inf01017
ENG04061,eng04061
ENG04055,eng04055
ECO02254,eco02254
INF01046,inf01046
ENG10005,eng10005
INF01002,inf01002
ENG10026,eng10026
INF01050,inf01050
ENG04041,eng04041
INF05024,inf05024
ADM01134,adm01134
INF01205,inf01205
INF01005,inf01005
ENG10051,eng10051
ENG04457,eng04457
ENG10052,eng10052
ENG04476,eng04476
ECP99001,ecp99001
INF01034,inf01034
INF01045,inf01045
ENG10019,eng10019
ENG10018,eng10018
HUM04020,hum04020
ENG04034,eng04034
INF01053,inf01053
INF05025,inf05025
ENG04063,eng04063
INF01032,inf01032
INF01213,inf01213
INF01145,inf01145
EDU03071,edu03071
ENG04434,eng04434
ENG04477,eng04477
INF01059,inf01059
ENG04057,eng04057
INF05026,inf05026
INF01030,inf01030
INF01216,inf01216
ENG10055,eng10055
INF05009,inf05009
INF01054,inf01054
INF01055,inf01055
INF01063,inf01063
INF05013,inf05013
ENG10057,eng10057
ENG10056,eng10056
ENG10058,eng10058
ENG04038,eng04038
ENG04065,eng04065
ENG04064,eng04064
ENG10054,eng10054
ENG04077,eng04077
