cartao,ingresso,codigo,titulo,situacao
12345678,2024/2,INF01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,Aprovado
12345678,2024/2,INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,Aprovado
12345678,2024/2,INF05515,COMPLEXIDADE DE ALGORITMOS - B,Aprovado
12345678,2024/2,MAT01032,CÁLCULO NUMÉRICO A,Aprovado
12345678,2024/2,INF05005,LINGUAGENS FORMAIS E AUTÔMATOS N,Aprovado
12345678,2024/1,INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,Aprovado
12345678,2024/1,INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,Aprovado
12345678,2024/1,INF05501,TEORIA DA COMPUTAÇÃO N,Aprovado
12345678,2024/1,MAT02219,PROBABILIDADE E ESTATÍSTICA,Aprovado
12345678,2024/1,INF01058,CIRCUITOS DIGITAIS,Aprovado
12345678,2023/2,INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Aprovado
12345678,2023/2,INF01203,ESTRUTURAS DE DADOS,Aprovado
12345678,2023/2,INF05508,LÓGICA PARA COMPUTAÇÃO,Aprovado
12345678,2023/2,INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,Aprovado
12345678,2023/2,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,Aprovado
12345678,2023/2,MAT01355,ÁLGEBRA LINEAR I - A,Aprovado
12345678,2023/1,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Aprovado
12345678,2023/1,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Aprovado
12345678,2023/1,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Aprovado
12345678,2023/1,MAT01375,MATEMÁTICA DISCRETA B,Aprovado
12345678,2023/1,INF05008,FUNDAMENTOS DE ALGORITMOS,Aprovado
